Gene	Num
CLCN2	1
SCAF8	1
MICB	1
CECR2	1
MEPCE	1
CIART	1
AMICA1	1
WDTC1	1
RAB40A	1
VPRBP	1
CDH3	1
ISCA2	1
CRBN	1
MYADM	1
OR3A2	1
MAP3K9	1
P2RX4	1
KANSL1L	1
TRMT5	1
NKRF	1
NIPSNAP1	1
CAPN13	1
NPAS4	1
RNF19B	1
IGKV1-8	1
RPS6KA6	1
SFXN2	1
HIST1H2AL	1
BARHL2	1
PMPCB	1
EFCAB12	1
HELLS	1
BRMS1	1
ABCA12	1
TMEM231	1
KPNB1	1
SLC7A7	1
PDS5B	1
PCDHAC1	1
ZNF646	1
BRS3	1
THBS4	1
CC2D1B	1
NIFK	1
MTERF3	1
LAMA3	1
GREM2	1
CIT	1
TMCO5A	1
CCDC24	1
BMP6	1
OGDHL	1
ZNF594	1
SERPINA12	1
STEAP1	1
SIMC1	1
BTNL8	1
HOXA5	1
KARS	1
PDILT	1
TENM1	1
YEATS2	1
HAUS8	1
CNKSR3	1
NBPF26	1
PTPRR	1
SREBF1	1
GOT2	1
ARHGEF3	1
LRRC30	1
AMPD3	1
ELMOD1	1
DRG1	1
XRCC6	1
PCDH1	1
CCDC102B	1
DCTN1	1
CORIN	1
SLCO6A1	1
TCL1A	1
POC1A	1
ADCY10	1
USP11	1
FANCC	1
BMP10	1
CAP2	1
EXO5	1
RALGAPB	1
NCR2	1
UNC5CL	1
NTN4	1
BTF3	1
ANXA7	1
FHDC1	1
C9orf78	1
CHD3	1
MSH6	1
ASXL3	1
GRIK3	1
ACSS3	1
C1orf210	1
ZDHHC3	1
MMP25	1
TROAP	1
RPL18	1
MEI1	1
C10orf12	1
GFRA2	1
C3orf56	1
KAT2B	1
ATP2B3	1
TTI1	1
SCUBE3	1
MARCH2	1
GAREM	1
ACSM1	1
TEX13B	1
ZNF491	1
HOXB13	1
MYOM3	1
TBC1D32	1
C1R	1
ZNF225	1
CST4	1
MYO1B	1
NEIL1	1
KCNN3	1
CNTLN	1
CST2	1
TEX33	1
UPF1	1
ZNF75D	1
POC1B-GALNT4	1
KCNU1	1
ADGRE1	1
ABCC3	1
RSF1	1
DNAJB2	1
NR2E1	1
CD40LG	1
DOCK5	1
CLTCL1	1
DTX3L	1
PAN2	1
C4BPB	1
SRA1	1
ATP8B2	1
PCDHGA2	1
CCNE2	1
DCDC1	1
HMBS	1
FAM122A	1
PSMC5	1
KRTAP24-1	1
XYLB	1
DHX32	1
HDAC2	1
DNAJC30	1
RNF152	1
TEX19	1
PARP14	1
ZNF311	1
KCNH2	1
TRAK2	1
AKNAD1	1
OAS1	1
DBNL	1
PRC1	1
CACNA1E	1
RAI1	1
NTSR2	1
